gender,age,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072
여자,25~29,1695058,1679660,1655044,1634824,1600140,1530888,1453148,1393330,1310402,1231580,1202779,1202312,1186147,1184332,1206636,1214480,1205053,1198465,1199212,1176252,1136017,1081056,1026599,955863,881260,821605,772930,730099,694168,667733,653140,650378,659186,677316,698626,717332,733176,746026,756000,763447,768890,770852,768108,761661,752297,740571,728881,719124,710684,702837,694814
여자,30~34,1593655,1640746,1677571,1700142,1720458,1708959,1691835,1662224,1642320,1607878,1538807,1461190,1401442,1318577,1239807,1211034,1210606,1194501,1192734,1215085,1222983,1213616,1207067,1207843,1184912,1144685,1089717,1035230,964456,889809,830107,781393,738532,702576,676123,661524,658771,667600,685761,707107,725848,741724,754600,764597,772061,777521,779496,776759,770313,760949,749214
여자,35~39,1673805,1599400,1565915,1561026,1563003,1599017,1641430,1673441,1696247,1716741,1705462,1688540,1659105,1639342,1605069,1536190,1458746,1399160,1316516,1237964,1209327,1209005,1193006,1191282,1213641,1221582,1212277,1205758,1206547,1183671,1143510,1088602,1034171,963486,888954,829354,780725,737934,702035,675628,661075,658362,667214,685381,706723,725459,741332,754206,764204,771672,777137
여자,40~44,1967944,1979185,1954043,1865133,1777225,1679979,1603289,1566465,1561857,1564060,1600168,1642640,1674745,1697670,1718290,1707187,1690417,1661158,1641558,1607454,1538801,1461601,1402203,1319757,1241351,1212766,1212467,1196515,1194837,1217225,1225210,1215951,1209476,1210330,1187539,1147465,1092665,1038341,967767,893311,833756,785162,742407,706539,680156,665612,662894,671733,689891,711238,729985
여자,45~49,2000130,1931529,1880851,1896876,1931068,1978902,1992154,1964845,1876481,1788912,1691938,1615403,1578676,1574166,1576510,1612714,1655334,1687636,1710766,1731579,1720689,1704067,1674947,1655445,1621443,1552874,1475696,1416276,1333822,1255345,1226669,1226359,1210447,1208799,1231254,1239342,1230158,1223734,1224650,1201915,1161840,1107006,1052616,981958,907365,847664,798954,756103,720153,693704,679113
여자,5~9,1044863,988475,933128,860959,784818,723809,674037,630268,593529,566469,551488,548596,557502,575909,597585,616647,632787,645873,656028,663605,669141,671138,668341,661761,652204,640243,628310,618339,609712,601695,593505,584405,573806,561321,546826,530455,512582,493761,474673,456037,438556,422830,409335,398379,390086,384404,381125,379915,380352,381961,384266
여자,50~54,2231491,2244211,2207260,2159961,2078372,2006066,1939333,1886820,1903214,1937795,1985959,1999599,1972641,1884653,1797323,1700607,1624252,1587656,1583292,1585834,1622222,1665084,1697637,1720986,1741987,1731307,1714822,1685815,1666394,1632498,1563988,1486776,1427293,1344821,1266280,1237539,1237271,1221456,1219857,1242388,1250597,1241495,1235106,1236060,1213367,1173272,1118363,1063855,993061,918300,858430
여자,55~59,2045845,2036303,2128595,2149934,2195822,2223924,2236965,2198286,2151795,2071090,1999482,1933414,1881480,1898159,1933020,1981408,1995378,1968801,1881330,1794419,1698158,1622160,1585808,1581634,1584392,1620929,1663966,1696709,1720240,1741418,1730968,1714656,1685806,1666511,1632780,1564428,1487311,1427885,1345509,1267013,1238274,1238068,1222357,1220812,1243408,1251732,1242732,1236393,1237395,1214772,1174702
여자,60~64,2105499,2156283,2128317,2093298,2027038,2028198,2017734,2107184,2129324,2175663,2204292,2217922,2180177,2134467,2054718,1983906,1918616,1867383,1884408,1919578,1968213,1982582,1956486,1869688,1783343,1687662,1612111,1576055,1572099,1575104,1611795,1654985,1687902,1711618,1732980,1722806,1706737,1678132,1659031,1625520,1557398,1480462,1421160,1338966,1260608,1231927,1231803,1216219,1214745,1237413,1245855
여자,65~69,1585781,1689360,1808456,1901240,2029453,2069927,2120242,2091831,2058363,1994142,1996155,1986894,2076228,2099081,2145747,2174793,2188982,2152400,2107720,2029298,1959623,1895464,1845261,1862774,1898289,1947110,1961830,1936219,1850286,1764781,1670022,1595203,1559623,1555970,1559289,1596162,1639513,1672620,1696528,1718069,1708222,1692463,1664174,1645338,1612151,1544400,1467807,1408763,1326905,1248858,1220341
여자,70~74,1152098,1189249,1235014,1341351,1458458,1542767,1644452,1760576,1852958,1979757,2020405,2070817,2043894,2012519,1951180,1954218,1946576,2035437,2059189,2106240,2135753,2150680,2115843,2072646,1996227,1928274,1865856,1817255,1835485,1871460,1920484,1935627,1910695,1826170,1742105,1648957,1575471,1540767,1537616,1541405,1578483,1621948,1655224,1679337,1701102,1691794,1676582,1648852,1630492,1597890,1530852
여자,75~79,899933,914385,954783,1003597,1054535,1091981,1129185,1173892,1277606,1390287,1472618,1571357,1683664,1774829,1898443,1938399,1988081,1962953,1935007,1878854,1883490,1878605,1966208,1991054,2038201,2067857,2083446,2051410,2010599,1937872,1873164,1814059,1768514,1787964,1824419,1873273,1888742,1864758,1782870,1701600,1611740,1541079,1508201,1506020,1510719,1548132,1591661,1625065,1649354,1671327,1662994
여자,80~84,762492,800915,804085,807688,781117,794818,812319,850337,895954,940434,977216,1013554,1056285,1154047,1257024,1334104,1425626,1529117,1616782,1733031,1770462,1817624,1795102,1773051,1726271,1733008,1732635,1816304,1842292,1888857,1918128,1934424,1907654,1871130,1805406,1746757,1694218,1654930,1676546,1713311,1761014,1776650,1754371,1678291,1603435,1521195,1456984,1428091,1427757,1434155,1471905
여자,85~89,445118,468271,499163,522057,542906,582302,616021,619371,622682,601359,617793,637043,669816,708170,740976,774236,806691,843798,928255,1012354,1077878,1154302,1239854,1317567,1416698,1446936,1486760,1467343,1454143,1422959,1432184,1438215,1511929,1537609,1580000,1605730,1621178,1602954,1573772,1520927,1473617,1433560,1405896,1430280,1466067,1509827,1524502,1504902,1440436,1378597,1312037
여자,90~94,168603,180821,196922,218180,240479,259706,276707,296778,311700,325528,351975,373906,375838,377870,363530,379291,396220,418900,444791,462599,487820,511796,538123,598286,652857,697705,748772,805275,862311,931467,949754,976707,961871,958304,944874,954016,964430,1018495,1039603,1071487,1089399,1101484,1093532,1074698,1041037,1010964,988583,976009,1000044,1029912,1063593
여자,95~99,36739,40044,46194,52293,57291,63880,70375,77519,86583,95756,103741,110701,119335,125878,132018,144234,153801,154061,154729,147881,158160,168167,178844,190643,196232,209621,221738,234409,264475,288477,309540,332928,358594,388015,421381,427314,439615,431083,433013,431296,437128,445826,474002,485763,502509,510858,517504,516404,507533,492777,479859
