Indicator,ParentLocation,Location,Period,FactValueNumeric
Generalist medical practitioners (number),Africa,Chad,2022,1197
Generalist medical practitioners (number),Africa,Mauritius,2022,1207
Generalist medical practitioners (number),Europe,Austria,2022,13214
Generalist medical practitioners (number),Africa,Namibia,2022,1336
Generalist medical practitioners (number),South-East Asia,Indonesia,2022,145493
Generalist medical practitioners (number),Africa,Benin,2022,1753
Generalist medical practitioners (number),Africa,Democratic Republic of the Congo,2022,18493
Generalist medical practitioners (number),Africa,Equatorial Guinea,2022,182
Generalist medical practitioners (number),Africa,Cabo Verde,2022,187
Generalist medical practitioners (number),Africa,Mozambique,2022,1933
Generalist medical practitioners (number),Africa,Zimbabwe,2022,2032
Generalist medical practitioners (number),Europe,Iceland,2022,219
Generalist medical practitioners (number),Eastern Mediterranean,Saudi Arabia,2022,23804
Generalist medical practitioners (number),Africa,Burkina Faso,2022,2372
Generalist medical practitioners (number),Africa,Cameroon,2022,2467
Generalist medical practitioners (number),Africa,Eritrea,2022,260
Generalist medical practitioners (number),South-East Asia,Bhutan,2022,263
Generalist medical practitioners (number),Africa,Lesotho,2022,281
Generalist medical practitioners (number),Eastern Mediterranean,Iraq,2022,29306
Generalist medical practitioners (number),Americas,Chile,2022,29586
Generalist medical practitioners (number),Americas,Peru,2022,29900
Generalist medical practitioners (number),Europe,Georgia,2022,3075
Generalist medical practitioners (number),Europe,Montenegro,2022,315
Generalist medical practitioners (number),Africa,Niger,2022,316
Generalist medical practitioners (number),Africa,Togo,2022,331
Generalist medical practitioners (number),Africa,Ghana,2022,3344
Generalist medical practitioners (number),Africa,Sierra Leone,2022,338
Generalist medical practitioners (number),Africa,Kenya,2022,3544
Generalist medical practitioners (number),Africa,Mali,2022,3557
Generalist medical practitioners (number),Africa,Guinea-Bissau,2022,428
Generalist medical practitioners (number),Africa,Cote d'Ivoire,2022,4412
Generalist medical practitioners (number),Eastern Mediterranean,Oman,2022,4657
Generalist medical practitioners (number),Africa,Zambia,2022,4709
Generalist medical practitioners (number),Africa,Angola,2022,4778
Generalist medical practitioners (number),Europe,Italy,2022,48137
Generalist medical practitioners (number),Americas,Canada,2022,48199
Generalist medical practitioners (number),Americas,El Salvador,2022,5202
Generalist medical practitioners (number),Europe,United Kingdom of Great Britain and Northern Ireland,2022,54624
Generalist medical practitioners (number),Africa,Seychelles,2022,57
Generalist medical practitioners (number),Americas,Uruguay,2022,6063
Generalist medical practitioners (number),Africa,Gabon,2022,612
Generalist medical practitioners (number),Africa,Mauritania,2022,616
Generalist medical practitioners (number),Africa,Eswatini,2022,623
Generalist medical practitioners (number),Africa,Uganda,2022,6369
Generalist medical practitioners (number),Western Pacific,New Zealand,2022,6478
Generalist medical practitioners (number),Africa,United Republic of Tanzania,2022,6701
Generalist medical practitioners (number),Africa,Senegal,2022,703
Generalist medical practitioners (number),Africa,Congo,2022,787
Generalist medical practitioners (number),Americas,Costa Rica,2022,7980
Generalist medical practitioners (number),Americas,Barbados,2022,820
Generalist medical practitioners (number),Africa,Liberia,2022,840
Generalist medical practitioners (number),Africa,Malawi,2022,843
Generalist medical practitioners (number),Africa,Nigeria,2022,85719
Generalist medical practitioners (number),Africa,Ethiopia,2022,8860
Generalist medical practitioners (number),Africa,Botswana,2022,899
Generalist medical practitioners (number),Europe,Israel,2022,9624
Generalist medical practitioners (number),Americas,Bolivia (Plurinational State of),2021,10089
Generalist medical practitioners (number),Europe,Israel,2021,10471
Generalist medical practitioners (number),Africa,Central African Republic,2021,108
Generalist medical practitioners (number),Europe,Ireland,2021,11743
Generalist medical practitioners (number),Americas,Mexico,2021,115004
Generalist medical practitioners (number),Europe,Estonia,2021,1156
Generalist medical practitioners (number),Africa,Namibia,2021,1181
Generalist medical practitioners (number),Africa,Burkina Faso,2021,1220
Generalist medical practitioners (number),Europe,Austria,2021,13277
Generalist medical practitioners (number),Europe,Belgium,2021,13952
Generalist medical practitioners (number),Americas,United States of America,2021,137648
Generalist medical practitioners (number),South-East Asia,Indonesia,2021,142060
Generalist medical practitioners (number),Europe,Latvia,2021,1448
Generalist medical practitioners (number),Europe,Slovenia,2021,1460
Generalist medical practitioners (number),Africa,Togo,2021,149
Generalist medical practitioners (number),Europe,Romania,2021,15147
Generalist medical practitioners (number),Africa,Gambia,2021,156
Generalist medical practitioners (number),Africa,Democratic Republic of the Congo,2021,16989
Generalist medical practitioners (number),Europe,Republic of Moldova,2021,1656
Generalist medical practitioners (number),South-East Asia,Nepal,2021,17190
Generalist medical practitioners (number),Western Pacific,Lao People's Democratic Republic,2021,1734
Generalist medical practitioners (number),Africa,Benin,2021,1797
Generalist medical practitioners (number),Africa,Mozambique,2021,1807
Generalist medical practitioners (number),Eastern Mediterranean,Saudi Arabia,2021,21656
Generalist medical practitioners (number),Europe,Iceland,2021,211
Generalist medical practitioners (number),Africa,Cameroon,2021,2477
Generalist medical practitioners (number),South-East Asia,Bhutan,2021,266
Generalist medical practitioners (number),Eastern Mediterranean,Iraq,2021,27017
Generalist medical practitioners (number),Africa,Eritrea,2021,276
Generalist medical practitioners (number),Americas,Chile,2021,28148
Generalist medical practitioners (number),Europe,Lithuania,2021,2871
Generalist medical practitioners (number),Europe,Georgia,2021,2894
Generalist medical practitioners (number),Europe,Portugal,2021,30788
Generalist medical practitioners (number),Africa,Ghana,2021,3034
Generalist medical practitioners (number),Europe,Netherlands (Kingdom of the),2021,32047
Generalist medical practitioners (number),Europe,Montenegro,2021,321
Generalist medical practitioners (number),Americas,Panama,2021,3237
Generalist medical practitioners (number),Europe,Croatia,2021,3245
Generalist medical practitioners (number),Africa,Kenya,2021,3252
Generalist medical practitioners (number),Europe,Poland,2021,33409
Generalist medical practitioners (number),Americas,El Salvador,2021,3416
Generalist medical practitioners (number),Western Pacific,Republic of Korea,2021,35914
Generalist medical practitioners (number),Americas,Peru,2021,36100
Generalist medical practitioners (number),Western Pacific,Papua New Guinea,2021,372
Generalist medical practitioners (number),Europe,Bulgaria,2021,4104
Generalist medical practitioners (number),Europe,Spain,2021,44762
Generalist medical practitioners (number),Africa,Guinea-Bissau,2021,444
Generalist medical practitioners (number),Western Pacific,Australia,2021,45513
Generalist medical practitioners (number),Eastern Mediterranean,Oman,2021,4568
Generalist medical practitioners (number),Europe,Turkmenistan,2021,4586
Generalist medical practitioners (number),Africa,Cote d'Ivoire,2021,4623
Generalist medical practitioners (number),Americas,Canada,2021,47337
Generalist medical practitioners (number),Europe,Italy,2021,48579
Generalist medical practitioners (number),Africa,Senegal,2021,487
Generalist medical practitioners (number),Europe,Greece,2021,4947
Generalist medical practitioners (number),Europe,United Kingdom of Great Britain and Northern Ireland,2021,54502
Generalist medical practitioners (number),Europe,Norway,2021,5418
Generalist medical practitioners (number),Americas,Uruguay,2021,5816
Generalist medical practitioners (number),Africa,Mauritania,2021,597
Generalist medical practitioners (number),Europe,Türkiye,2021,60299
Generalist medical practitioners (number),Western Pacific,New Zealand,2021,6388
Generalist medical practitioners (number),Europe,Hungary,2021,6488
Generalist medical practitioners (number),Eastern Mediterranean,Tunisia,2021,6794
Generalist medical practitioners (number),Africa,Burundi,2021,725
Generalist medical practitioners (number),Americas,Suriname,2021,734
Generalist medical practitioners (number),Africa,Chad,2021,740
Generalist medical practitioners (number),Americas,Costa Rica,2021,7484
Generalist medical practitioners (number),Europe,Czechia,2021,7545
Generalist medical practitioners (number),Americas,Barbados,2021,796
Generalist medical practitioners (number),Africa,Liberia,2021,800
Generalist medical practitioners (number),Africa,Nigeria,2021,84277
Generalist medical practitioners (number),Europe,Germany,2021,86107
Generalist medical practitioners (number),Africa,Botswana,2021,900
Generalist medical practitioners (number),Europe,France,2021,93726
Generalist medical practitioners (number),Africa,Ethiopia,2021,9361
Generalist medical practitioners (number),Americas,Colombia,2021,94890
Generalist medical practitioners (number),South-East Asia,Sri Lanka,2021,950
Generalist medical practitioners (number),Europe,Switzerland,2021,9964
Generalist medical practitioners (number),Europe,Israel,2020,10095
Generalist medical practitioners (number),Africa,Namibia,2020,1036
Generalist medical practitioners (number),Europe,Estonia,2020,1084
Generalist medical practitioners (number),Africa,Burkina Faso,2020,1088
Generalist medical practitioners (number),Western Pacific,Tuvalu,2020,11
Generalist medical practitioners (number),Americas,Mexico,2020,112607
Generalist medical practitioners (number),Europe,Republic of Moldova,2020,12516
Generalist medical practitioners (number),Eastern Mediterranean,Saudi Arabia,2020,12814
Generalist medical practitioners (number),Africa,Gambia,2020,122
Generalist medical practitioners (number),Europe,Austria,2020,13280
Generalist medical practitioners (number),Europe,Belgium,2020,13697
Generalist medical practitioners (number),Americas,United States of America,2020,135708
Generalist medical practitioners (number),Africa,Eswatini,2020,136
Generalist medical practitioners (number),South-East Asia,Indonesia,2020,137920
Generalist medical practitioners (number),Europe,Latvia,2020,1416
Generalist medical practitioners (number),Europe,Slovenia,2020,1450
Generalist medical practitioners (number),Europe,Romania,2020,15140
Generalist medical practitioners (number),South-East Asia,Nepal,2020,16499
Generalist medical practitioners (number),Americas,Guatemala,2020,16587
Generalist medical practitioners (number),Africa,Cameroon,2020,1643
Generalist medical practitioners (number),Africa,Mozambique,2020,1655
Generalist medical practitioners (number),Western Pacific,Lao People's Democratic Republic,2020,1912
Generalist medical practitioners (number),Europe,Albania,2020,2081
Generalist medical practitioners (number),Europe,Iceland,2020,216
Generalist medical practitioners (number),Eastern Mediterranean,Iraq,2020,24586
Generalist medical practitioners (number),Africa,Comoros,2020,241
Generalist medical practitioners (number),South-East Asia,Bhutan,2020,244
Generalist medical practitioners (number),Americas,Chile,2020,26009
Generalist medical practitioners (number),Western Pacific,Palau,2020,27
Generalist medical practitioners (number),Europe,Lithuania,2020,2728
Generalist medical practitioners (number),Europe,Portugal,2020,30098
Generalist medical practitioners (number),Africa,Senegal,2020,308
Generalist medical practitioners (number),Americas,Panama,2020,3083
Generalist medical practitioners (number),Europe,Netherlands (Kingdom of the),2020,31208
Generalist medical practitioners (number),Europe,Croatia,2020,3121
Generalist medical practitioners (number),Europe,Montenegro,2020,316
Generalist medical practitioners (number),Europe,Poland,2020,32653
Generalist medical practitioners (number),Europe,Georgia,2020,3277
Generalist medical practitioners (number),Western Pacific,Republic of Korea,2020,35449
Generalist medical practitioners (number),Africa,Togo,2020,354
Generalist medical practitioners (number),Africa,Guinea-Bissau,2020,375
Generalist medical practitioners (number),Africa,South Sudan,2020,383
Generalist medical practitioners (number),Europe,Bulgaria,2020,4174
Generalist medical practitioners (number),Europe,Spain,2020,43302
Generalist medical practitioners (number),Western Pacific,Australia,2020,44781
Generalist medical practitioners (number),Africa,Cote d'Ivoire,2020,4435
Generalist medical practitioners (number),Americas,Canada,2020,46797
Generalist medical practitioners (number),Europe,Denmark,2020,4638
Generalist medical practitioners (number),Europe,Turkmenistan,2020,4667
Generalist medical practitioners (number),Eastern Mediterranean,Oman,2020,4732
Generalist medical practitioners (number),Europe,Greece,2020,4769
Generalist medical practitioners (number),Europe,Italy,2020,50354
Generalist medical practitioners (number),Africa,Sierra Leone,2020,515
Generalist medical practitioners (number),Europe,United Kingdom of Great Britain and Northern Ireland,2020,52034
Generalist medical practitioners (number),Africa,Gabon,2020,526
Generalist medical practitioners (number),Europe,Norway,2020,5310
Generalist medical practitioners (number),Africa,Mauritania,2020,532
Generalist medical practitioners (number),Europe,Türkiye,2020,56108
Generalist medical practitioners (number),Western Pacific,Samoa,2020,62
Generalist medical practitioners (number),Western Pacific,New Zealand,2020,6210
Generalist medical practitioners (number),Europe,Sweden,2020,6305
Generalist medical practitioners (number),Africa,Malawi,2020,639
Generalist medical practitioners (number),Europe,Hungary,2020,6438
Generalist medical practitioners (number),South-East Asia,Thailand,2020,66301
Generalist medical practitioners (number),Eastern Mediterranean,Tunisia,2020,6781
Generalist medical practitioners (number),Europe,Czechia,2020,7112
Generalist medical practitioners (number),Americas,Barbados,2020,723
Generalist medical practitioners (number),Africa,Liberia,2020,725
Generalist medical practitioners (number),Americas,Costa Rica,2020,7264
Generalist medical practitioners (number),Americas,Paraguay,2020,7500
Generalist medical practitioners (number),Europe,Finland,2020,7686
Generalist medical practitioners (number),Africa,Chad,2020,784
Generalist medical practitioners (number),Americas,Bolivia (Plurinational State of),2020,8051
Generalist medical practitioners (number),South-East Asia,Sri Lanka,2020,820
Generalist medical practitioners (number),Europe,Germany,2020,85471
Generalist medical practitioners (number),Western Pacific,Micronesia (Federated States of),2020,87
Generalist medical practitioners (number),Western Pacific,Tonga,2020,88
Generalist medical practitioners (number),Africa,Botswana,2020,902
Generalist medical practitioners (number),Americas,Colombia,2020,91212
Generalist medical practitioners (number),Europe,Ireland,2020,9360
Generalist medical practitioners (number),Africa,Ethiopia,2020,9361
Generalist medical practitioners (number),South-East Asia,Timor-Leste,2020,937
Generalist medical practitioners (number),Europe,France,2020,94000
Generalist medical practitioners (number),Europe,Switzerland,2020,9848
Generalist medical practitioners (number),Europe,Israel,2019,10035
Generalist medical practitioners (number),Africa,Burkina Faso,2019,1026
Generalist medical practitioners (number),Africa,Gambia,2019,107
Generalist medical practitioners (number),Western Pacific,Tonga,2019,107
Generalist medical practitioners (number),Europe,Estonia,2019,1102
Generalist medical practitioners (number),Americas,Mexico,2019,111536
Generalist medical practitioners (number),Americas,Brazil,2019,118013
Generalist medical practitioners (number),Europe,Belgium,2019,13425
Generalist medical practitioners (number),Europe,Austria,2019,13581
Generalist medical practitioners (number),Americas,United States of America,2019,134878
Generalist medical practitioners (number),South-East Asia,Bhutan,2019,135
Generalist medical practitioners (number),Europe,Latvia,2019,1369
Generalist medical practitioners (number),Europe,Slovenia,2019,1414
Generalist medical practitioners (number),Europe,Armenia,2019,1415
Generalist medical practitioners (number),Africa,Democratic Republic of the Congo,2019,15016
Generalist medical practitioners (number),Europe,Romania,2019,15092
Generalist medical practitioners (number),South-East Asia,Nepal,2019,15388
Generalist medical practitioners (number),Africa,Mozambique,2019,1715
Generalist medical practitioners (number),Eastern Mediterranean,Pakistan,2019,194265
Generalist medical practitioners (number),Western Pacific,Lao People's Democratic Republic,2019,1955
Generalist medical practitioners (number),Europe,Albania,2019,2016
Generalist medical practitioners (number),Africa,Benin,2019,202
Generalist medical practitioners (number),Europe,Iceland,2019,215
Generalist medical practitioners (number),Africa,Ghana,2019,2181
Generalist medical practitioners (number),Eastern Mediterranean,Iraq,2019,22732
Generalist medical practitioners (number),Americas,Chile,2019,23838
Generalist medical practitioners (number),Africa,Togo,2019,230
Generalist medical practitioners (number),Africa,Sierra Leone,2019,231
Generalist medical practitioners (number),Africa,Algeria,2019,27560
Generalist medical practitioners (number),Africa,South Sudan,2019,274
Generalist medical practitioners (number),Europe,Lithuania,2019,2883
Generalist medical practitioners (number),Europe,Portugal,2019,29079
Generalist medical practitioners (number),Americas,Panama,2019,2912
Generalist medical practitioners (number),Western Pacific,Tokelau,2019,3
Generalist medical practitioners (number),Europe,Netherlands (Kingdom of the),2019,30107
Generalist medical practitioners (number),Eastern Mediterranean,Egypt,2019,31944
Generalist medical practitioners (number),Europe,Montenegro,2019,310
Generalist medical practitioners (number),Europe,Poland,2019,33238
Generalist medical practitioners (number),Europe,Croatia,2019,3389
Generalist medical practitioners (number),Western Pacific,Republic of Korea,2019,34736
Generalist medical practitioners (number),Africa,Senegal,2019,353
Generalist medical practitioners (number),Europe,Bulgaria,2019,4255
Generalist medical practitioners (number),Europe,Spain,2019,43131
Generalist medical practitioners (number),Western Pacific,Australia,2019,43200
Generalist medical practitioners (number),Europe,Turkmenistan,2019,4542
Generalist medical practitioners (number),Americas,Trinidad and Tobago,2019,4595
Generalist medical practitioners (number),Americas,Canada,2019,46132
Generalist medical practitioners (number),Europe,Denmark,2019,4641
Generalist medical practitioners (number),Europe,Russian Federation,2019,47573
Generalist medical practitioners (number),Europe,Greece,2019,4732
Generalist medical practitioners (number),Europe,Republic of Moldova,2019,4732
Generalist medical practitioners (number),Western Pacific,Vanuatu,2019,48
Generalist medical practitioners (number),Western Pacific,Papua New Guinea,2019,494
Generalist medical practitioners (number),Europe,United Kingdom of Great Britain and Northern Ireland,2019,51096
Generalist medical practitioners (number),Africa,Gabon,2019,516
Generalist medical practitioners (number),Europe,Norway,2019,5162
Generalist medical practitioners (number),Europe,Türkiye,2019,52280
Generalist medical practitioners (number),Europe,Italy,2019,52555
Generalist medical practitioners (number),Eastern Mediterranean,Oman,2019,5245
Generalist medical practitioners (number),Africa,Mauritania,2019,533
Generalist medical practitioners (number),Africa,Ethiopia,2019,5867
Generalist medical practitioners (number),South-East Asia,Indonesia,2019,59988
Generalist medical practitioners (number),South-East Asia,Maldives,2019,597
Generalist medical practitioners (number),Europe,Sweden,2019,6372
Generalist medical practitioners (number),Africa,Chad,2019,642
Generalist medical practitioners (number),Americas,Dominican Republic,2019,6601
Generalist medical practitioners (number),Americas,Costa Rica,2019,6765
Generalist medical practitioners (number),Europe,Georgia,2019,6772
Generalist medical practitioners (number),Western Pacific,New Zealand,2019,6821
Generalist medical practitioners (number),Africa,Liberia,2019,697
Generalist medical practitioners (number),Europe,Hungary,2019,7302
Generalist medical practitioners (number),Europe,Czechia,2019,7330
Generalist medical practitioners (number),Eastern Mediterranean,Tunisia,2019,7701
Generalist medical practitioners (number),Europe,Finland,2019,7742
Generalist medical practitioners (number),South-East Asia,Sri Lanka,2019,800
Generalist medical practitioners (number),Africa,Botswana,2019,813
Generalist medical practitioners (number),Europe,Germany,2019,82689
Generalist medical practitioners (number),Americas,Colombia,2019,87115
Generalist medical practitioners (number),Africa,Namibia,2019,900
Generalist medical practitioners (number),Americas,Bolivia (Plurinational State of),2019,9020
Generalist medical practitioners (number),Europe,Ireland,2019,9039
Generalist medical practitioners (number),Europe,France,2019,94433
Generalist medical practitioners (number),South-East Asia,Timor-Leste,2019,954
Generalist medical practitioners (number),Europe,Switzerland,2019,9724
Generalist medical practitioners (number),Americas,Mexico,2018,108167
Generalist medical practitioners (number),Europe,Estonia,2018,1097
Generalist medical practitioners (number),Americas,Anguilla,2018,11
Generalist medical practitioners (number),Eastern Mediterranean,Saudi Arabia,2018,11692
Generalist medical practitioners (number),Africa,Rwanda,2018,1114
Generalist medical practitioners (number),Africa,Mauritius,2018,1188
Generalist medical practitioners (number),Americas,Jamaica,2018,1198
Generalist medical practitioners (number),Africa,Seychelles,2018,125
Generalist medical practitioners (number),Europe,Belgium,2018,13178
Generalist medical practitioners (number),Africa,Comoros,2018,130
Generalist medical practitioners (number),Eastern Mediterranean,Qatar,2018,1305
Generalist medical practitioners (number),South-East Asia,Nepal,2018,14650
Generalist medical practitioners (number),Europe,Romania,2018,14891
Generalist medical practitioners (number),Europe,Slovenia,2018,1405
Generalist medical practitioners (number),Europe,Armenia,2018,1410
Generalist medical practitioners (number),Europe,Latvia,2018,1411
Generalist medical practitioners (number),Africa,Mali,2018,1417
Generalist medical practitioners (number),Europe,Austria,2018,15006
Generalist medical practitioners (number),Africa,Eritrea,2018,160
Generalist medical practitioners (number),Africa,Cabo Verde,2018,165
Generalist medical practitioners (number),Africa,Mozambique,2018,1695
Generalist medical practitioners (number),Africa,Gambia,2018,181
Generalist medical practitioners (number),Africa,Zimbabwe,2018,1863
Generalist medical practitioners (number),South-East Asia,Sri Lanka,2018,19000
Generalist medical practitioners (number),Europe,Poland,2018,19810
Generalist medical practitioners (number),Western Pacific,Lao People's Democratic Republic,2018,1951
Generalist medical practitioners (number),South-East Asia,Bhutan,2018,210
Generalist medical practitioners (number),Africa,Eswatini,2018,211
Generalist medical practitioners (number),Americas,Nicaragua,2018,2119
Generalist medical practitioners (number),Europe,Iceland,2018,218
Generalist medical practitioners (number),Africa,Togo,2018,219
Generalist medical practitioners (number),Africa,Cameroon,2018,2400
Generalist medical practitioners (number),Africa,United Republic of Tanzania,2018,2434
Generalist medical practitioners (number),Americas,Chile,2018,25041
Generalist medical practitioners (number),Africa,Malawi,2018,2582
Generalist medical practitioners (number),Africa,Central African Republic,2018,263
Generalist medical practitioners (number),Africa,Guinea,2018,2649
Generalist medical practitioners (number),Americas,Panama,2018,2676
Generalist medical practitioners (number),Africa,Congo,2018,269
Generalist medical practitioners (number),Europe,Portugal,2018,27664
Generalist medical practitioners (number),Europe,Netherlands (Kingdom of the),2018,28729
Generalist medical practitioners (number),Europe,Lithuania,2018,2884
Generalist medical practitioners (number),Africa,South Africa,2018,29311
Generalist medical practitioners (number),Africa,Angola,2018,3043
Generalist medical practitioners (number),Africa,Algeria,2018,32774
Generalist medical practitioners (number),Western Pacific,Republic of Korea,2018,33483
Generalist medical practitioners (number),Africa,Ghana,2018,3316
Generalist medical practitioners (number),Europe,Montenegro,2018,336
Generalist medical practitioners (number),Africa,South Sudan,2018,338
Generalist medical practitioners (number),Africa,Benin,2018,346
Generalist medical practitioners (number),Europe,Croatia,2018,3507
Generalist medical practitioners (number),Eastern Mediterranean,Lebanon,2018,3744
Generalist medical practitioners (number),Western Pacific,Australia,2018,40825
Generalist medical practitioners (number),Europe,Spain,2018,41727
Generalist medical practitioners (number),Africa,Cote d'Ivoire,2018,4246
Generalist medical practitioners (number),Europe,Bulgaria,2018,4322
Generalist medical practitioners (number),Europe,Greece,2018,4390
Generalist medical practitioners (number),Europe,Turkmenistan,2018,4617
Generalist medical practitioners (number),Europe,Denmark,2018,4649
Generalist medical practitioners (number),Americas,Trinidad and Tobago,2018,4694
Generalist medical practitioners (number),Europe,Russian Federation,2018,47074
Generalist medical practitioners (number),Europe,Türkiye,2018,48688
Generalist medical practitioners (number),Africa,Mauritania,2018,487
Generalist medical practitioners (number),Europe,United Kingdom of Great Britain and Northern Ireland,2018,49569
Generalist medical practitioners (number),Europe,Norway,2018,4976
Generalist medical practitioners (number),Africa,Sierra Leone,2018,500
Generalist medical practitioners (number),South-East Asia,Maldives,2018,515
Generalist medical practitioners (number),Europe,Italy,2018,52998
Generalist medical practitioners (number),Africa,Guinea-Bissau,2018,544
Generalist medical practitioners (number),Eastern Mediterranean,Oman,2018,5500
Generalist medical practitioners (number),Africa,Kenya,2018,5602
Generalist medical practitioners (number),Africa,Gabon,2018,570
Generalist medical practitioners (number),Africa,Ethiopia,2018,5867
Generalist medical practitioners (number),South-East Asia,Indonesia,2018,59847
Generalist medical practitioners (number),Europe,Georgia,2018,6155
Generalist medical practitioners (number),Americas,Costa Rica,2018,6196
Generalist medical practitioners (number),Africa,Chad,2018,646
Generalist medical practitioners (number),Europe,Sweden,2018,6477
Generalist medical practitioners (number),Western Pacific,New Zealand,2018,6711
Generalist medical practitioners (number),Africa,Liberia,2018,672
Generalist medical practitioners (number),Europe,Hungary,2018,7096
Generalist medical practitioners (number),Africa,Nigeria,2018,71508
Generalist medical practitioners (number),Africa,Burkina Faso,2018,732
Generalist medical practitioners (number),Europe,Finland,2018,7481
Generalist medical practitioners (number),Eastern Mediterranean,"occupied Palestinian territory, including east Jerusalem",2018,7507
Generalist medical practitioners (number),Europe,Germany,2018,80778
Generalist medical practitioners (number),Africa,Namibia,2018,806
Generalist medical practitioners (number),Africa,Botswana,2018,807
Generalist medical practitioners (number),Africa,Lesotho,2018,815
Generalist medical practitioners (number),Americas,Colombia,2018,82806
Generalist medical practitioners (number),Eastern Mediterranean,Iran (Islamic Republic of),2018,86300
Generalist medical practitioners (number),South-East Asia,Timor-Leste,2018,883
Generalist medical practitioners (number),Europe,Ireland,2018,8965
Generalist medical practitioners (number),Europe,France,2018,94139
Generalist medical practitioners (number),Europe,Switzerland,2018,9683
Generalist medical practitioners (number),Europe,Israel,2018,9804
Generalist medical practitioners (number),Europe,Estonia,2017,1059
Generalist medical practitioners (number),Americas,Mexico,2017,107566
Generalist medical practitioners (number),Africa,Rwanda,2017,1114
Generalist medical practitioners (number),Europe,Belgium,2017,12992
Generalist medical practitioners (number),Europe,Austria,2017,13745
Generalist medical practitioners (number),Europe,Slovenia,2017,1400
Generalist medical practitioners (number),Europe,Latvia,2017,1414
Generalist medical practitioners (number),Europe,Armenia,2017,1438
Generalist medical practitioners (number),Europe,Romania,2017,15020
Generalist medical practitioners (number),Europe,Poland,2017,15908
Generalist medical practitioners (number),Africa,Gambia,2017,152
Generalist medical practitioners (number),Americas,Brazil,2017,153832
Generalist medical practitioners (number),Americas,Honduras,2017,1548
Generalist medical practitioners (number),Africa,Mozambique,2017,1555
Generalist medical practitioners (number),South-East Asia,Bhutan,2017,167
Generalist medical practitioners (number),South-East Asia,Sri Lanka,2017,17375
Generalist medical practitioners (number),Africa,Zimbabwe,2017,1754
Generalist medical practitioners (number),Africa,Ghana,2017,1757
Generalist medical practitioners (number),Europe,Iceland,2017,209
Generalist medical practitioners (number),Americas,Chile,2017,22993
Generalist medical practitioners (number),Africa,Togo,2017,230
Generalist medical practitioners (number),Americas,Panama,2017,2501
Generalist medical practitioners (number),Western Pacific,Lao People's Democratic Republic,2017,2591
Generalist medical practitioners (number),Europe,Portugal,2017,27076
Generalist medical practitioners (number),Europe,Netherlands (Kingdom of the),2017,27730
Generalist medical practitioners (number),Europe,Lithuania,2017,2971
Generalist medical practitioners (number),Western Pacific,Republic of Korea,2017,32652
Generalist medical practitioners (number),Europe,Croatia,2017,3321
Generalist medical practitioners (number),Europe,Spain,2017,35378
Generalist medical practitioners (number),Western Pacific,Australia,2017,39971
Generalist medical practitioners (number),Europe,Bulgaria,2017,4396
Generalist medical practitioners (number),Europe,Turkmenistan,2017,4474
Generalist medical practitioners (number),South-East Asia,Indonesia,2017,45387
Generalist medical practitioners (number),Europe,Russian Federation,2017,45975
Generalist medical practitioners (number),Europe,Denmark,2017,4617
Generalist medical practitioners (number),Americas,Suriname,2017,465
Generalist medical practitioners (number),Europe,Greece,2017,4651
Generalist medical practitioners (number),Europe,Türkiye,2017,47999
Generalist medical practitioners (number),Europe,Norway,2017,4881
Generalist medical practitioners (number),Europe,United Kingdom of Great Britain and Northern Ireland,2017,49824
Generalist medical practitioners (number),South-East Asia,Maldives,2017,500
Generalist medical practitioners (number),Eastern Mediterranean,Oman,2017,5097
Generalist medical practitioners (number),Eastern Mediterranean,Iran (Islamic Republic of),2017,51974
Generalist medical practitioners (number),Europe,Italy,2017,53691
Generalist medical practitioners (number),Europe,Luxembourg,2017,534
Generalist medical practitioners (number),Eastern Mediterranean,"occupied Palestinian territory, including east Jerusalem",2017,5476
Generalist medical practitioners (number),Americas,Costa Rica,2017,5549
Generalist medical practitioners (number),Africa,Gabon,2017,570
Generalist medical practitioners (number),Europe,Georgia,2017,6155
Generalist medical practitioners (number),Europe,Sweden,2017,6405
Generalist medical practitioners (number),Western Pacific,New Zealand,2017,6454
Generalist medical practitioners (number),Eastern Mediterranean,Tunisia,2017,6491
Generalist medical practitioners (number),Europe,Hungary,2017,6855
Generalist medical practitioners (number),Europe,Finland,2017,7335
Generalist medical practitioners (number),Americas,Colombia,2017,78867
Generalist medical practitioners (number),Europe,Germany,2017,79999
Generalist medical practitioners (number),Europe,Ireland,2017,8763
Generalist medical practitioners (number),Africa,Burkina Faso,2017,888
Generalist medical practitioners (number),South-East Asia,Timor-Leste,2017,900
Generalist medical practitioners (number),Eastern Mediterranean,Morocco,2017,9094
Generalist medical practitioners (number),Eastern Mediterranean,Libya,2017,9366
Generalist medical practitioners (number),Europe,France,2017,94375
Generalist medical practitioners (number),Europe,Israel,2017,9467
Generalist medical practitioners (number),Europe,Switzerland,2017,9628
Generalist medical practitioners (number),Americas,Mexico,2016,106106
Generalist medical practitioners (number),Europe,Estonia,2016,1061
Generalist medical practitioners (number),Africa,Rwanda,2016,1107
Generalist medical practitioners (number),Europe,Belgium,2016,12929
Generalist medical practitioners (number),Europe,Austria,2016,13834
Generalist medical practitioners (number),Europe,Slovenia,2016,1405
Generalist medical practitioners (number),Europe,Latvia,2016,1412
Generalist medical practitioners (number),Europe,Armenia,2016,1488
Generalist medical practitioners (number),Europe,Romania,2016,15211
