ALPHA_S,ALPHA_E,BETA,SEED,K,TARDY JOB,MEAN TARDINESS,Q TARDY JOB
0.5,2.5,10.0,488,0.8,145,2888.56,63
0.5,2.5,10.0,488,0.9,145,2888.56,63
0.5,2.5,10.0,489,0.1,144,2749.9133333333334,69
0.5,2.5,10.0,489,0.2,144,2749.9133333333334,69
0.5,2.5,10.0,489,0.30000000000000004,144,2749.9133333333334,69
0.5,2.5,10.0,489,0.4,144,2749.9133333333334,69
0.5,2.5,10.0,489,0.5,144,2749.9133333333334,69
0.5,2.5,10.0,489,0.6,144,2749.9133333333334,69
0.5,2.5,10.0,489,0.7000000000000001,144,2749.9133333333334,69
0.5,2.5,10.0,489,0.8,144,2749.9133333333334,69
0.5,2.5,10.0,489,0.9,144,2749.9133333333334,69
0.5,2.5,10.0,490,0.1,144,2730.346666666667,67
0.5,2.5,10.0,490,0.2,144,2730.346666666667,67
0.5,2.5,10.0,490,0.30000000000000004,144,2730.2533333333336,67
0.5,2.5,10.0,490,0.4,144,2730.2533333333336,67
0.5,2.5,10.0,490,0.5,144,2730.2533333333336,67
0.5,2.5,10.0,490,0.6,144,2730.2533333333336,67
0.5,2.5,10.0,490,0.7000000000000001,144,2730.2533333333336,67
0.5,2.5,10.0,490,0.8,144,2730.2533333333336,67
0.5,2.5,10.0,490,0.9,144,2730.2533333333336,67
0.5,2.5,10.0,491,0.1,145,2719.5866666666666,64
0.5,2.5,10.0,491,0.2,145,2719.5866666666666,64
0.5,2.5,10.0,491,0.30000000000000004,145,2719.5866666666666,64
0.5,2.5,10.0,491,0.4,145,2719.5866666666666,64
0.5,2.5,10.0,491,0.5,145,2719.5866666666666,64
0.5,2.5,10.0,491,0.6,145,2719.5866666666666,64
0.5,2.5,10.0,491,0.7000000000000001,145,2719.5866666666666,64
0.5,2.5,10.0,491,0.8,145,2719.5866666666666,64
0.5,2.5,10.0,491,0.9,145,2719.5866666666666,64
0.5,2.5,10.0,492,0.1,144,2790.9533333333334,69
0.5,2.5,10.0,492,0.2,144,2790.9533333333334,69
0.5,2.5,10.0,492,0.30000000000000004,144,2790.9533333333334,69
0.5,2.5,10.0,492,0.4,144,2790.9533333333334,69
0.5,2.5,10.0,492,0.5,144,2790.9533333333334,69
0.5,2.5,10.0,492,0.6,144,2790.9533333333334,69
0.5,2.5,10.0,492,0.7000000000000001,144,2790.9533333333334,69
0.5,2.5,10.0,492,0.8,145,2790.72,69
0.5,2.5,10.0,492,0.9,145,2790.72,69
